uniprot_id	protein_function
P56528	Lyase
P56528	Transferase (other)
P56545	Oxidoreductase
P56545	Transcription regulator
P56560	Oxidoreductase
P56658	Hydrolase (C-N bonds, no peptides)
P56677	Peptidase
P56690	Hydrolase (ester bonds)
P56690	Ligase
P56704	Transcription regulator
P56718	G protein-coupled receptor
P56719	G protein-coupled receptor
P56726	G protein-coupled receptor
P56730	Peptidase
P56740	Isomerase
P56740	Lyase
P56817	Peptidase
P56818	Peptidase
P56819	Peptidase
P56937	Oxidoreductase
P56950	Transferase (other)
P57059	Kinase
P57078	Kinase
P57764	Transporter
P57771	Enzyme regulator
P57771	Hydrolase (acid anhydrides)
P58022	Oxidoreductase
P58154	Transmembrane signaling receptors (other)
P58154	Transporter
P58215	Oxidoreductase
P58295	Transporter
P58307	G protein-coupled receptor
P58308	G protein-coupled receptor
P58406	G protein-coupled receptor
P58681	Hydrolase (glycosyl bonds)
P58681	Transmembrane signaling receptors (other)
P58735	Transporter
P58801	Kinase
P59264	Hydrolase (ester bonds)
P59538	G protein-coupled receptor
P59540	G protein-coupled receptor
P59722	Oxidoreductase
P60033	no_function
P60484	Hydrolase (ester bonds)
P60487	Hydrolase (ester bonds)
P60568	Enzyme regulator
P60842	Hydrolase (acid anhydrides)
P60843	Hydrolase (acid anhydrides)
P61026	Hydrolase (acid anhydrides)
P61073	G protein-coupled receptor
P61077	Transferase (other)
P61081	Transferase (other)
P61088	Transferase (other)
P61158	no_function
P61160	no_function
P61168	G protein-coupled receptor
P61168	Dopamine binding
P61169	G protein-coupled receptor
P61169	Dopamine binding
P61244	Transcription regulator
P61244	DNA binding
P61316	no_function
P61431	Oxidoreductase
P61586	Hydrolase (acid anhydrides)
P61794	G protein-coupled receptor
P61813	G protein-coupled receptor
P61814	G protein-coupled receptor
P61823	Hydrolase (ester bonds)
P61823	Lyase
P61922	Transferase (other)
P61964	no_function
P61981	Enzyme regulator
P62136	Hydrolase (ester bonds)
P62157	Enzyme regulator
P62166	Transporter
P62344	Kinase
P62508	Signaling receptor (not transmembrane)
P62508	Transcription regulator
P62508	DNA binding
P62509	Signaling receptor (not transmembrane)
P62509	Transcription regulator
P62509	DNA binding
P62575	Hydrolase (glycosyl bonds)
P62593	Hydrolase (C-N bonds, no peptides)
P62744	no_function
P62813	Transmembrane signaling receptors (other)
P62813	Transporter
P62826	Hydrolase (acid anhydrides)
P62937	Isomerase
P62942	Isomerase
P62965	no_function
P62993	no_function
P63000	Hydrolase (acid anhydrides)
P63001	Hydrolase (acid anhydrides)
P63073	no_function
P63085	Kinase
P63085	DNA binding
P63086	Kinase
P63086	DNA binding
P63104	no_function
P63116	Transporter
P63142	Transporter
P63146	Transferase (other)
P63165	no_function
P63252	Transporter
P63279	Transferase (other)
P63319	Kinase
P67827	Kinase
P67870	Enzyme regulator
P67870	Kinase
P67871	Enzyme regulator
P67871	Kinase
P68104	Hydrolase (acid anhydrides)
P68106	Isomerase
P68135	no_function
P68400	Kinase
P68402	Hydrolase (ester bonds)
P68402	Transferase (acyl groups)
P68403	Transcription regulator
P68403	Kinase
P68404	Transcription regulator
P68404	Kinase
P68826	Hydrolase (C-N bonds, no peptides)
P68849	Ligase
P69328	Hydrolase (glycosyl bonds)
P69560	Oxidoreductase
P69834	Transferase (phosphorus-containing groups, non-kinase)
P70172	Transporter
P70174	G protein-coupled receptor
P70174	Transporter
P70263	G protein-coupled receptor
P70313	Oxidoreductase
P70349	Peptidase
P70349	Hydrolase (C-N bonds, no peptides)
P70453	Hydrolase (ester bonds)
P70496	Hydrolase (ester bonds)
P70536	G protein-coupled receptor
P70579	G protein-coupled receptor
P70596	G protein-coupled receptor
P70597	G protein-coupled receptor
P70604	Transporter
P70605	Transporter
P70606	Transporter
P70623	Transporter
P70658	G protein-coupled receptor
P70682	Oxidoreductase
P70699	Hydrolase (glycosyl bonds)
P71716	Ligase
P71716	Transferase (phosphorus-containing groups, non-kinase)
P72355	Peptidase
P76558	Lyase
P76558	Oxidoreductase
P76558	Transferase (acyl groups)
P78352	no_function
P78356	Kinase
P78362	Kinase
P78368	Kinase
P78508	Transporter
P78527	Kinase
P78527	DNA binding
P78536	Peptidase
P78540	Hydrolase (C-N bonds, no peptides)
P78549	Hydrolase (ester bonds)
P78549	Hydrolase (glycosyl bonds)
P78549	Lyase
P78549	DNA binding
P78600	Ligase
P79074	Hydrolase (glycosyl bonds)
P79208	Oxidoreductase
P79218	G protein-coupled receptor
P79227	Peptidase
P79248	no_function
P79293	no_function
P79350	G protein-coupled receptor
P79350	Transporter
P79394	G protein-coupled receptor
P80025	Oxidoreductase
P80067	Enzyme regulator
P80067	Peptidase
P80147	Transferase (other)
P80192	Kinase
P80209	Peptidase
P80276	Oxidoreductase
P80299	Hydrolase (ester bonds)
P80365	Oxidoreductase
P80366	Hydrolase (ester bonds)
P80370	no_function
P80404	Transferase (other)
P80456	Oxidoreductase
P80457	Oxidoreductase
P81072	Hydrolase (C-N bonds, no peptides)
P81123	Kinase
P81172	no_function
P81425	Peptidase
P81721	Transporter
P81908	Hydrolase (ester bonds)
P83512	Peptidase
P84022	Transcription regulator
P84022	DNA binding
P87108	Transporter
P88142	Peptidase
P88142	Hydrolase (ester bonds)
P88142	Transferase (phosphorus-containing groups, non-kinase)
P88142	DNA binding
P90518	Ligase
P90584	Kinase
P93836	Oxidoreductase
P93841	Kinase
P94451	Hydrolase (glycosyl bonds)
P94958	Hydrolase (C-N bonds, no peptides)
P95276	Hydrolase (other)
P96471	no_function
P96830	Hydrolase (ester bonds)
P96878	Lyase
P96878	Transporter
P97266	G protein-coupled receptor
P97266	Transporter
P97287	no_function
P97313	Kinase
P97313	DNA binding
P97321	Peptidase
P97391	Hydrolase (ester bonds)
P97449	Peptidase
P97468	G protein-coupled receptor
P97477	Kinase
P97480	Hydrolase (ester bonds)
P97504	Kinase
P97520	G protein-coupled receptor
P97571	Peptidase
P97583	G protein-coupled receptor
P97612	Hydrolase (C-N bonds, no peptides)
P97612	Hydrolase (ester bonds)
P97639	G protein-coupled receptor
P97687	Hydrolase (acid anhydrides)
P97689	Transporter
P97696	Enzyme regulator
P97717	G protein-coupled receptor
P97772	G protein-coupled receptor
P97793	Transmembrane receptor protein kinase
P97793	Kinase
P97821	Enzyme regulator
P97821	Peptidase
P97879	no_function
P98073	Peptidase
P98139	Peptidase
P98170	Enzyme regulator
P98170	Transferase (other)
P9WFR9	Transferase (one-carbon groups)
P9WG47	Hydrolase (acid anhydrides)
P9WG47	Isomerase
P9WG47	DNA binding
P9WG57	Transferase (one-carbon groups)
P9WGR1	Oxidoreductase
P9WGR1	Transferase (acyl groups)
P9WH09	Oxidoreductase
P9WHE9	Transferase (alkyl or aryl groups, no methyl)
P9WHH1	Oxidoreductase
P9WHV7	Kinase
P9WI81	Enzyme regulator
P9WI81	Kinase
P9WIA1	Hydrolase (ester bonds)
P9WIB9	Isomerase
P9WIC1	Isomerase
P9WID5	Kinase
P9WIJ3	Hydrolase (C-N bonds, no peptides)
P9WIL5	Ligase
P9WJF1	Oxidoreductase
P9WJM9	Ligase
P9WJN1	Hydrolase (C-N bonds, no peptides)
P9WJN3	Hydrolase (C-N bonds, no peptides)
P9WKD7	Isomerase
P9WKE1	Kinase
P9WKG5	Lyase
P9WKK7	Lyase
P9WMC1	Transcription regulator
P9WMC1	DNA binding
P9WMN1	Transferase (glycosyl groups)
P9WN95	Hydrolase (acid anhydrides)
P9WNG3	Transferase (acyl groups)
P9WNP5	Lyase
P9WNS1	Oxidoreductase
P9WNS3	Transferase (other)
P9WNV1	Ligase
P9WNX1	Oxidoreductase
P9WP01	Transferase (glycosyl groups)
P9WP25	Lyase
P9WP55	Lyase
P9WP55	Transferase (alkyl or aryl groups, no methyl)
P9WPJ7	Lyase
P9WPJ9	Lyase
P9WPX7	Lyase
P9WQ77	Transferase (other)
P9WQA3	Lyase
P9WQD7	Transferase (acyl groups)
P9WQN9	Transferase (acyl groups)
P9WQP7	Isomerase
P9WQP7	Oxidoreductase
Q00194	Transporter
Q00342	Transmembrane receptor protein kinase
Q00342	Kinase
Q00496	Peptidase
Q00496	Transporter
Q00526	Kinase
Q00532	Kinase
Q00534	Kinase
Q00535	Kinase
Q00535	Transporter
Q00536	Kinase
Q00537	Kinase
Q00610	no_function
Q00613	Transcription regulator
Q00613	DNA binding
Q00688	Isomerase
Q00688	Signaling receptor (not transmembrane)
Q00788	G protein-coupled receptor
Q00959	Transmembrane signaling receptors (other)
Q00959	Transporter
Q00960	Transmembrane signaling receptors (other)
Q00960	Transporter
Q00961	Transmembrane signaling receptors (other)
Q00961	Transporter
Q00975	Transporter
Q00987	Ligase
Q00987	Transferase (other)
Q01062	Hydrolase (ester bonds)
Q01063	Hydrolase (ester bonds)
Q01064	Hydrolase (ester bonds)
Q01097	Transmembrane signaling receptors (other)
Q01097	Transporter
Q01118	Transporter
Q01158	Oxidoreductase
Q01177	Peptidase
Q01279	Enzyme regulator
Q01279	Transmembrane receptor protein kinase
Q01279	Kinase
Q01432	Hydrolase (C-N bonds, no peptides)
Q01469	Transporter
Q01538	Transcription regulator
Q01538	DNA binding
Q01558	Oxidoreductase
Q01650	Transporter
Q01668	Transporter
Q01693	Peptidase
Q01705	Enzyme regulator
Q01705	Transmembrane signaling receptors (other)
Q01705	Transcription regulator
Q01705	DNA binding
Q01717	G protein-coupled receptor
Q01726	G protein-coupled receptor
Q01727	G protein-coupled receptor
Q01776	G protein-coupled receptor
Q01782	Oxidoreductase
Q01812	Transmembrane signaling receptors (other)
Q01812	Transporter
Q01813	Kinase
Q01815	Transporter
Q01827	Transporter
Q01959	Dopamine binding
Q01959	Transporter
Q01HZ7	Ligase
Q02083	Hydrolase (C-N bonds, no peptides)
Q02110	Oxidoreductase
Q02111	Kinase
Q02127	Hydrolase (C-N bonds, no peptides)
Q02127	Oxidoreductase
Q02156	Enzyme regulator
Q02156	Kinase
Q02224	no_function
Q02241	Hydrolase (acid anhydrides)
Q02294	Transporter
Q02401	Hydrolase (glycosyl bonds)
Q02401	Transferase (other)
Q02440	no_function
Q02485	Transporter
Q02563	Transporter
Q02750	Enzyme regulator
Q02750	Kinase
Q02759	Hydrolase (other)
Q02759	Isomerase
Q02759	Oxidoreductase
Q02763	Transmembrane receptor protein kinase
Q02763	Kinase
Q02765	Peptidase
Q02769	Transferase (alkyl or aryl groups, no methyl)
Q02779	Transcription regulator
Q02779	Kinase
Q02790	Isomerase
Q02844	Peptidase
Q02880	Isomerase
Q02880	DNA binding
Q02974	Kinase
Q03111	no_function
Q03137	Transmembrane receptor protein kinase
Q03137	Kinase
Q03142	Transmembrane receptor protein kinase
Q03142	Kinase
Q03145	Transmembrane receptor protein kinase
Q03145	Kinase
Q03164	Transferase (one-carbon groups)
Q03164	DNA binding
Q03181	Signaling receptor (not transmembrane)
Q03181	Transcription regulator
Q03181	DNA binding
Q03311	Hydrolase (ester bonds)
Q03393	Lyase
Q03431	G protein-coupled receptor
Q03469	Isomerase
Q03732	DNA binding
Q04206	Transcription regulator
Q04206	DNA binding
Q04207	Transcription regulator
Q04207	DNA binding
Q04400	Lyase
Q04609	Peptidase
Q04721	Signaling receptor (not transmembrane)
Q04750	Isomerase
Q04750	Kinase
Q04750	DNA binding
Q04756	Peptidase
Q04759	Kinase
Q04760	Lyase
Q04771	Transmembrane receptor protein kinase
Q04771	Kinase
Q04828	Oxidoreductase
Q04844	Transmembrane signaling receptors (other)
Q04844	Transporter
Q04912	Transmembrane receptor protein kinase
Q04912	Kinase
Q04998	no_function
Q05030	Transmembrane receptor protein kinase
Q05030	Kinase
Q05193	Hydrolase (acid anhydrides)
Q05209	Hydrolase (ester bonds)
Q05320	no_function
Q05343	Signaling receptor (not transmembrane)
Q05343	Transcription regulator
Q05343	DNA binding
Q05397	Kinase
Q05469	Hydrolase (ester bonds)
Q05513	Kinase
Q05516	Transcription regulator
Q05516	DNA binding
Q05586	Transmembrane signaling receptors (other)
Q05586	Transporter
Q05639	Hydrolase (acid anhydrides)
Q05655	Enzyme regulator
Q05655	Kinase
Q05769	Oxidoreductase
Q05823	Hydrolase (ester bonds)
Q05823	Kinase
Q05940	Transporter
Q05941	Transmembrane signaling receptors (other)
Q05941	Acetylcholine binding
Q05941	Transporter
Q05BA5	Transcription regulator
Q05BA5	Transferase (acyl groups)
Q05BQ5	no_function
Q06000	Hydrolase (ester bonds)
Q06124	Hydrolase (ester bonds)
Q06187	Enzyme regulator
Q06187	Kinase
Q06241	Peptidase
Q06278	Oxidoreductase
Q06347	Peptidase
Q06347	Hydrolase (ester bonds)
Q06347	Transferase (phosphorus-containing groups, non-kinase)
Q06418	Transmembrane receptor protein kinase
Q06418	Kinase
Q06486	Kinase
Q06495	Transporter
Q06496	Transporter
Q06518	Enzyme regulator
Q06518	Oxidoreductase
Q06609	DNA binding
Q06806	Transmembrane receptor protein kinase
Q06806	Kinase
Q06830	Oxidoreductase
Q07002	Kinase
Q07071	Enzyme regulator
Q07075	Peptidase
Q07108	Transmembrane signaling receptors (other)
Q07343	Hydrolase (ester bonds)
Q07422	Oxidoreductase
Q07422	Transferase (one-carbon groups)
Q07440	no_function
Q07523	Oxidoreductase
Q07806	Peptidase
Q07806	Transferase (glycosyl groups)
Q07812	Transporter
Q07817	no_function
Q07820	Transporter
Q07869	Signaling receptor (not transmembrane)
Q07869	Transcription regulator
Q07869	DNA binding
Q07889	Enzyme regulator
Q07889	DNA binding
Q07912	Enzyme regulator
Q07912	Kinase
Q07969	Signaling receptor (not transmembrane)
Q07969	Transporter
Q08188	Transferase (acyl groups)
Q08257	Oxidoreductase
Q08345	Transmembrane receptor protein kinase
Q08345	Kinase
Q08357	Signaling receptor (not transmembrane)
Q08357	Transporter
Q08397	Oxidoreductase
Q08493	Hydrolase (ester bonds)
Q08499	Hydrolase (ester bonds)
Q08642	Hydrolase (C-N bonds, no peptides)
Q08752	Isomerase
Q08828	Lyase
Q08881	Kinase
Q09013	Enzyme regulator
Q09013	Kinase
Q09137	Kinase
Q09327	Transferase (glycosyl groups)
Q09470	Transporter
Q09472	Transcription regulator
Q09472	Transferase (acyl groups)
Q09472	DNA binding
Q0GMK6	Kinase
Q0PJ46	Oxidoreductase
Q0PXQ5	Hydrolase (C-N bonds, no peptides)
Q0VC81	G protein-coupled receptor
Q0VTR6	Hydrolase (C-N bonds, no peptides)
Q0VTR8	Hydrolase (C-N bonds, no peptides)
Q0VTS0	Hydrolase (C-N bonds, no peptides)
Q10469	Transferase (glycosyl groups)
Q10471	Transferase (glycosyl groups)
Q11128	Transferase (glycosyl groups)
Q11130	Transferase (glycosyl groups)
Q11201	Transferase (glycosyl groups)
Q11203	Transferase (glycosyl groups)
Q12772	Transcription regulator
Q12772	DNA binding
Q12830	DNA binding
Q12834	Enzyme regulator
Q12840	Hydrolase (acid anhydrides)
Q12851	Kinase
Q12852	Enzyme regulator
Q12852	Kinase
Q12866	Transmembrane receptor protein kinase
Q12866	Kinase
Q12879	Transmembrane signaling receptors (other)
Q12879	Transporter
Q12884	Peptidase
Q12888	Transcription regulator
Q12888	DNA binding
Q12908	Transporter
Q12913	Hydrolase (ester bonds)
Q12923	Hydrolase (ester bonds)
Q12931	Hydrolase (acid anhydrides)
Q12974	Hydrolase (ester bonds)
Q13002	Transmembrane signaling receptors (other)
Q13002	Transporter
Q13003	G protein-coupled receptor
Q13003	Transporter
Q13043	Enzyme regulator
Q13043	Kinase
Q13057	Kinase
Q13085	Ligase
Q13093	Hydrolase (ester bonds)
Q13107	Peptidase
Q13118	Transcription regulator
Q13118	DNA binding
Q13123	no_function
Q13126	Transferase (glycosyl groups)
Q13131	Kinase
Q13133	Signaling receptor (not transmembrane)
Q13133	Transcription regulator
Q13133	DNA binding
Q13148	DNA binding
Q13153	Kinase
Q13155	no_function
Q13163	Kinase
Q13164	Kinase
Q13177	Enzyme regulator
Q13177	Kinase
Q13183	Transporter
Q13188	Enzyme regulator
Q13188	Kinase
Q13224	Transmembrane signaling receptors (other)
Q13224	Transporter
Q13231	Hydrolase (glycosyl bonds)
Q13233	Kinase
Q13237	Kinase
Q13255	G protein-coupled receptor
Q13258	G protein-coupled receptor
Q13285	Signaling receptor (not transmembrane)
Q13285	Transcription regulator
Q13285	DNA binding
Q13304	G protein-coupled receptor
Q13315	Kinase
Q13315	DNA binding
Q13324	G protein-coupled receptor
Q13332	Hydrolase (ester bonds)
Q13336	Transporter
Q13370	Hydrolase (ester bonds)
Q13393	Hydrolase (ester bonds)
Q13418	Kinase
Q13443	Peptidase
Q13451	Isomerase
Q13464	Enzyme regulator
Q13464	Kinase
Q13470	Kinase
Q13480	no_function
Q13489	Enzyme regulator
Q13489	Transferase (other)
Q13490	Enzyme regulator
Q13490	Transcription regulator
Q13490	Transferase (other)
Q13507	Transporter
Q13509	Hydrolase (acid anhydrides)
Q13510	Hydrolase (C-N bonds, no peptides)
Q13510	Transcription regulator
Q13523	Kinase
Q13526	Isomerase
Q13535	Kinase
Q13535	DNA binding
Q13546	Kinase
Q13547	Hydrolase (C-N bonds, no peptides)
Q13547	Transcription regulator
Q13547	DNA binding
Q13554	Kinase
Q13555	Hydrolase (ester bonds)
Q13555	Kinase
Q13557	Kinase
Q13564	Ligase
Q13574	Kinase
Q13609	Hydrolase (ester bonds)
Q13609	DNA binding
Q13619	Transferase (other)
Q13627	Transcription regulator
Q13627	Kinase
Q13639	G protein-coupled receptor
Q13639	Serotonin binding
Q13705	Transmembrane receptor protein kinase
Q13705	Kinase
Q13822	Hydrolase (acid anhydrides)
Q13822	Hydrolase (ester bonds)
Q13873	Enzyme regulator
Q13873	Transmembrane receptor protein kinase
Q13873	Kinase
Q13882	Kinase
Q13887	Transcription regulator
Q13887	DNA binding
Q13936	Transporter
Q13946	Hydrolase (ester bonds)
Q13951	Transcription regulator
Q13951	DNA binding
Q13976	Kinase
Q14004	Kinase
Q14012	Kinase
Q14123	Hydrolase (ester bonds)
Q14145	no_function
Q14164	Enzyme regulator
Q14164	Kinase
Q14188	Transcription regulator
Q14188	DNA binding
Q14191	Hydrolase (acid anhydrides)
Q14191	Hydrolase (ester bonds)
Q14191	DNA binding
Q14240	Hydrolase (acid anhydrides)
Q14242	no_function
Q14289	Transmembrane signaling receptors (other)
Q14289	Kinase
Q14289	Transporter
Q14330	G protein-coupled receptor
Q14376	Isomerase
Q14397	Enzyme regulator
Q14416	G protein-coupled receptor
Q14432	Hydrolase (ester bonds)
Q14451	no_function
Q14524	Transporter
Q14642	Hydrolase (ester bonds)
Q14674	Peptidase
Q14680	Kinase
Q14683	Hydrolase (acid anhydrides)
Q14683	DNA binding
Q14694	Peptidase
Q14703	Peptidase
Q14790	Peptidase
Q14831	Enzyme regulator
Q14831	G protein-coupled receptor
Q14832	G protein-coupled receptor
Q14833	G protein-coupled receptor
Q14839	Hydrolase (acid anhydrides)
Q14839	DNA binding
Q14849	Transporter
Q14940	Transporter
Q14957	Transmembrane signaling receptors (other)
Q14957	Transporter
Q14973	Transporter
Q14994	Signaling receptor (not transmembrane)
Q14994	Transcription regulator
Q14994	DNA binding
Q14995	Signaling receptor (not transmembrane)
Q14995	Transcription regulator
Q14995	DNA binding
Q15040	Peptidase
Q15046	Ligase
Q15046	Transferase (phosphorus-containing groups, non-kinase)
Q15047	Transferase (one-carbon groups)
Q15047	DNA binding
Q15056	no_function
Q15058	Hydrolase (acid anhydrides)
Q15059	no_function
Q15067	Oxidoreductase
Q15077	G protein-coupled receptor
Q15084	Isomerase
Q15084	Oxidoreductase
Q15109	Transmembrane signaling receptors (other)
Q15116	no_function
Q15118	Kinase
Q15119	Kinase
Q15120	Kinase
Q15125	Isomerase
Q15131	Kinase
Q15139	Kinase
Q15149	no_function
Q15165	Hydrolase (ester bonds)
Q15166	Hydrolase (ester bonds)
Q15208	Kinase
Q15256	Hydrolase (ester bonds)
Q15256	Transmembrane signaling receptors (other)
Q15257	Enzyme regulator
Q15257	Isomerase
Q15303	Transmembrane receptor protein kinase
Q15303	Kinase
Q15303	DNA binding
Q15349	Kinase
Q15375	Transmembrane receptor protein kinase
Q15375	Kinase
Q15391	G protein-coupled receptor
Q15392	Oxidoreductase
Q15393	no_function
Q15399	Hydrolase (glycosyl bonds)
Q15399	Transmembrane signaling receptors (other)
Q15418	Enzyme regulator
Q15418	Kinase
Q15465	Peptidase
Q15466	Transcription regulator
Q15544	Transcription regulator
Q15544	DNA binding
Q15561	Transcription regulator
Q15561	DNA binding
Q15569	Kinase
Q15573	DNA binding
Q15652	Oxidoreductase
Q15652	Transcription regulator
Q15652	DNA binding
Q15661	Peptidase
Q15678	Hydrolase (ester bonds)
Q15678	Transcription regulator
Q15717	no_function
Q15722	G protein-coupled receptor
Q15743	G protein-coupled receptor
Q15746	Kinase
Q15758	Signaling receptor (not transmembrane)
Q15758	Transporter
Q15759	Kinase
Q15761	G protein-coupled receptor
Q15831	Enzyme regulator
Q15831	Kinase
Q15835	Kinase
Q15843	no_function
Q15858	Transporter
Q15910	Transcription regulator
Q15910	Transferase (one-carbon groups)
Q15910	DNA binding
Q16236	Transcription regulator
Q16236	DNA binding
Q16288	Transmembrane receptor protein kinase
Q16288	Kinase
Q16348	Transporter
Q16445	Transmembrane signaling receptors (other)
Q16445	Transporter
Q16478	Transmembrane signaling receptors (other)
Q16478	Transporter
Q16512	Transcription regulator
Q16512	Kinase
Q16513	Kinase
Q16539	Kinase
Q16548	no_function
Q16566	Kinase
Q16572	Transporter
Q16581	G protein-coupled receptor
Q16584	Kinase
Q16602	G protein-coupled receptor
Q16620	Transmembrane receptor protein kinase
Q16620	Kinase
Q16621	Transcription regulator
Q16621	DNA binding
Q16644	Kinase
Q16647	Isomerase
Q16647	Lyase
Q16647	Oxidoreductase
Q16651	Peptidase
Q16654	Kinase
Q16658	no_function
Q16659	Kinase
Q16665	Transcription regulator
Q16665	DNA binding
Q16690	Hydrolase (ester bonds)
Q16706	Hydrolase (glycosyl bonds)
Q16719	Hydrolase (other)
Q16739	Transferase (glycosyl groups)
Q16740	Peptidase
Q16762	Transferase (other)
Q16769	Peptidase
Q16769	Transferase (acyl groups)
Q16773	Lyase
Q16773	Transferase (other)
Q16790	Lyase
Q16816	Kinase
Q16819	Peptidase
Q16820	Peptidase
Q16827	Hydrolase (ester bonds)
Q16827	Transmembrane signaling receptors (other)
Q16828	Hydrolase (ester bonds)
Q16831	Transferase (glycosyl groups)
Q16832	Transmembrane receptor protein kinase
Q16832	Kinase
Q16853	Oxidoreductase
Q16873	Enzyme regulator
Q16873	Lyase
Q16873	Oxidoreductase
Q16873	Transferase (alkyl or aryl groups, no methyl)
Q16875	Hydrolase (ester bonds)
Q16875	Kinase
Q16877	Hydrolase (ester bonds)
Q16877	Kinase
Q16881	Oxidoreductase
Q17066	Kinase
Q17339	no_function
Q17SB2	Peptidase
Q194T1	Hydrolase (glycosyl bonds)
Q197X6	Transferase (alkyl or aryl groups, no methyl)
Q1A7N1	Transporter
Q1HEC0	Ligase
Q1W675	Oxidoreductase
Q20MD3	Hydrolase (glycosyl bonds)
Q25615	Hydrolase (glycosyl bonds)
Q25856	Oxidoreductase
Q25917	Kinase
Q26710	Oxidoreductase
Q27546	Hydrolase (glycosyl bonds)
Q27552	Oxidoreductase
Q27552	Transferase (one-carbon groups)
Q27686	Kinase
Q27757	Oxidoreductase
Q27963	Transporter
Q27YN9	Transporter
Q28039	Transporter
Q28044	G protein-coupled receptor
Q28156	Hydrolase (ester bonds)
Q28175	Hydrolase (ester bonds)
Q28175	Isomerase
Q28175	Oxidoreductase
Q28263	Hydrolase (ester bonds)
Q28309	G protein-coupled receptor
Q28641	no_function
Q28731	Peptidase
Q28998	Enzyme regulator
Q28998	G protein-coupled receptor
Q29010	G protein-coupled receptor
Q29092	Hydrolase (acid anhydrides)
Q29463	Peptidase
Q29550	Hydrolase (ester bonds)
Q29571	Peptidase
Q2AC31	G protein-coupled receptor
Q2HPH0	Isomerase
Q2HPH0	DNA binding
Q2HXR2	Transferase (glycosyl groups)
Q2HY42	no_function
Q2KHZ8	Hydrolase (glycosyl bonds)
Q2KHZ8	Transferase (glycosyl groups)
Q2KIM0	Hydrolase (glycosyl bonds)
Q2KJ64	Hydrolase (C-N bonds, no peptides)
Q2L8D9	no_function
Q2LFS1	Hydrolase (glycosyl bonds)
Q2M2I8	Kinase
Q2NL51	Kinase
Q2NL67	Transferase (glycosyl groups)
Q2NNR5	G protein-coupled receptor
Q2PCB5	Lyase
Q2Q167	no_function
Q2TA32	Transferase (one-carbon groups)
Q2TB90	Kinase
Q2TU57	Isomerase
Q2V0Q7	G protein-coupled receptor
Q2WGM0	G protein-coupled receptor
Q2XPY6	Hydrolase (C-N bonds, no peptides)
Q2XUH7	G protein-coupled receptor
Q31945	Oxidoreductase
Q31FD6	Lyase
Q32MK0	Kinase
Q32ZE1	Peptidase
Q32ZE1	Hydrolase (acid anhydrides)
Q32ZE1	Transferase (one-carbon groups)
Q32ZE1	Transferase (phosphorus-containing groups, non-kinase)
Q36792	Peptidase
Q37001	Lyase
Q37001	Transferase (other)
Q38720	no_function
Q38854	Transferase (other)
Q38860	Transferase (acyl groups)
Q39829	Oxidoreductase
Q39830	Hydrolase (acid anhydrides)
Q3B7M2	Hydrolase (ester bonds)
Q3BCU0	G protein-coupled receptor
Q3HTL5	Peptidase
Q3I4V7	Lyase
Q3MIX3	Kinase
Q3S340	Hydrolase (glycosyl bonds)
Q3S5C3	Transporter
Q3SAW3	Hydrolase (C-N bonds, no peptides)
Q3SYC2	Transferase (acyl groups)
Q3SZX4	Lyase
Q3T905	Peptidase
Q3TBT3	no_function
Q3TRM4	Hydrolase (ester bonds)
Q3U3Q1	Kinase
Q3U6B2	G protein-coupled receptor
Q3UES3	Transferase (glycosyl groups)
Q3UP87	Peptidase
Q3UP87	Transcription regulator
Q3UR32	Transmembrane signaling receptors (other)
Q3UR32	Transporter
Q3UVX5	G protein-coupled receptor
Q3UXZ9	Oxidoreductase
Q3UXZ9	Transcription regulator
Q3UXZ9	DNA binding
Q3V4E6	Ligase
Q3Y5H1	Peptidase
Q3ZAV1	Transporter
Q3ZCJ8	Peptidase
Q3ZKN1	Peptidase
Q42656	Hydrolase (glycosyl bonds)
Q42840	Oxidoreductase
Q42950	Ligase
Q43077	Oxidoreductase
Q43191	Oxidoreductase
Q43445	Transferase (one-carbon groups)
Q43760	Ligase
Q44079	Hydrolase (C-N bonds, no peptides)
Q46085	Peptidase
Q460N3	Transcription regulator
Q460N3	Transferase (glycosyl groups)
Q460N5	Transcription regulator
Q460N5	Transferase (glycosyl groups)
Q46991	Hydrolase (C-N bonds, no peptides)
Q48435	Hydrolase (C-N bonds, no peptides)
Q48935	Hydrolase (C-N bonds, no peptides)
Q49PX0	no_function
Q4AE59	Hydrolase (glycosyl bonds)
Q4CXJ6	Transferase (alkyl or aryl groups, no methyl)
Q4E657	Kinase
Q4FZB7	Transferase (one-carbon groups)
Q4FZV0	Hydrolase (glycosyl bonds)
Q4G017	no_function
Q4G0J3	no_function
Q4KLH9	G protein-coupled receptor
Q4L144	G protein-coupled receptor
Q4Q5S8	Transferase (acyl groups)
Q4Q5W4	Transferase (alkyl or aryl groups, no methyl)
Q4QBL1	Transferase (alkyl or aryl groups, no methyl)
Q4QE15	Kinase
Q4QEW7	Oxidoreductase
Q4QQW4	Hydrolase (C-N bonds, no peptides)
Q4QQW4	Transcription regulator
Q4QQW4	DNA binding
Q4QYD9	Transporter
Q4TVR4	Hydrolase (C-N bonds, no peptides)
Q4U254	Peptidase
Q4U254	Hydrolase (acid anhydrides)
Q4U254	Transferase (phosphorus-containing groups, non-kinase)
Q4U2R8	Transporter
Q4VQ11	G protein-coupled receptor
Q50565	Lyase
Q50H31	no_function
Q52WX2	Kinase
Q533H1	G protein-coupled receptor
