uniprot_id	protein_function
P02766	no_function
P02774	Transporter
P02866	no_function
P02879	Hydrolase (glycosyl bonds)
P03070	Hydrolase (other)
P03070	DNA binding
P03072	Hydrolase (other)
P03072	DNA binding
P03120	Transcription regulator
P03120	DNA binding
P03126	DNA binding
P03303	Peptidase
P03303	Hydrolase (acid anhydrides)
P03303	Transferase (phosphorus-containing groups, non-kinase)
P03303	Transporter
P03313	Peptidase
P03313	Hydrolase (acid anhydrides)
P03313	Transferase (phosphorus-containing groups, non-kinase)
P03313	Transporter
P03372	Enzyme regulator
P03372	Signaling receptor (not transmembrane)
P03372	Transcription regulator
P03372	DNA binding
P03428	Transferase (phosphorus-containing groups, non-kinase)
P03433	Hydrolase (ester bonds)
P03437	no_function
P03438	no_function
P03452	no_function
P03468	Enzyme regulator
P03468	Hydrolase (glycosyl bonds)
P03471	Hydrolase (glycosyl bonds)
P03887	Oxidoreductase
P03887	Transporter
P03951	Peptidase
P03952	Peptidase
P03956	Peptidase
P04014	Hydrolase (acid anhydrides)
P04014	DNA binding
P04015	Transcription regulator
P04015	DNA binding
P04035	Oxidoreductase
P04040	Hydrolase (C-N bonds, no peptides)
P04040	Oxidoreductase
P04049	Kinase
P04053	Transferase (phosphorus-containing groups, non-kinase)
P04053	DNA binding
P04054	Hydrolase (ester bonds)
P04055	Hydrolase (ester bonds)
P04058	Hydrolase (ester bonds)
P04062	Hydrolase (glycosyl bonds)
P04062	Transferase (glycosyl groups)
P04066	Hydrolase (glycosyl bonds)
P04070	Peptidase
P04085	no_function
P04150	Signaling receptor (not transmembrane)
P04150	Transcription regulator
P04150	DNA binding
P04174	Oxidoreductase
P04177	Oxidoreductase
P04177	Dopamine binding
P04181	Transferase (other)
P04183	Kinase
P04184	Kinase
P04185	Peptidase
P04186	Peptidase
P04190	Hydrolase (C-N bonds, no peptides)
P04191	Transporter
P04201	G protein-coupled receptor
P04233	Transmembrane signaling receptors (other)
P04271	no_function
P04273	Enzyme regulator
P04273	Signaling receptor (not transmembrane)
P04274	G protein-coupled receptor
P04278	no_function
P04326	Transcription regulator
P04401	no_function
P04406	Enzyme regulator
P04406	Oxidoreductase
P04406	Transferase (other)
P04409	Kinase
P04439	no_function
P04626	Transmembrane receptor protein kinase
P04626	Kinase
P04629	Transmembrane receptor protein kinase
P04629	Kinase
P04631	no_function
P04637	Enzyme regulator
P04637	Transcription regulator
P04637	DNA binding
P04746	Hydrolase (glycosyl bonds)
P04774	Transporter
P04775	Transporter
P04792	Enzyme regulator
P04818	Folic acid binding
P04818	Transferase (one-carbon groups)
P04839	Oxidoreductase
P04839	Transporter
P04899	Hydrolase (acid anhydrides)
P04925	Enzyme regulator
P04925	Signaling receptor (not transmembrane)
P05067	Enzyme regulator
P05067	DNA binding
P05089	Hydrolase (C-N bonds, no peptides)
P05091	Hydrolase (ester bonds)
P05091	Oxidoreductase
P05121	Enzyme regulator
P05129	Kinase
P05141	Transporter
P05164	Oxidoreductase
P05186	Hydrolase (acid anhydrides)
P05186	Hydrolase (ester bonds)
P05187	Hydrolase (ester bonds)
P05193	Hydrolase (C-N bonds, no peptides)
P05227	no_function
P05231	no_function
P05307	Isomerase
P05307	Oxidoreductase
P05362	Transmembrane signaling receptors (other)
P05363	G protein-coupled receptor
P05364	Hydrolase (C-N bonds, no peptides)
P05369	Transferase (alkyl or aryl groups, no methyl)
P05412	Enzyme regulator
P05412	Transcription regulator
P05412	DNA binding
P05413	no_function
P05480	Enzyme regulator
P05480	Kinase
P05532	Transmembrane receptor protein kinase
P05532	Kinase
P05622	Transmembrane receptor protein kinase
P05622	Kinase
P05659	no_function
P05696	Kinase
P05771	Transcription regulator
P05771	Kinase
P05979	Oxidoreductase
P05981	Peptidase
P05982	Oxidoreductase
P06026	Peptidase
P06186	Signaling receptor (not transmembrane)
P06186	Transcription regulator
P06186	DNA binding
P06211	Signaling receptor (not transmembrane)
P06211	Transcription regulator
P06211	DNA binding
P06213	Transmembrane receptor protein kinase
P06213	Kinase
P06239	Enzyme regulator
P06239	Hydrolase (ester bonds)
P06239	Kinase
P06240	Enzyme regulator
P06240	Hydrolase (ester bonds)
P06240	Kinase
P06241	Enzyme regulator
P06241	Kinase
P06276	Hydrolase (ester bonds)
P06278	Hydrolase (glycosyl bonds)
P06280	Hydrolase (glycosyl bonds)
P06281	Peptidase
P06307	no_function
P06400	Transcription regulator
